Тип_документа;Документ;Описание_документа;Ду1;Ду2;Дн1;Дн2;L1;L2;Стенка1;Стенка2;Масса;Наименование_тройника
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;200;100;219;114;356;156;6;4;16;Тройник 200х6-100х4-200х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;200;125;219;133;356;162;6;4;16;Тройник 200х6-125х4-200х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;200;150;219;159;356;168;6;4;16;Тройник 200х6-150х4-200х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;200;200;219;219;356;178;6;6;23;Тройник 200х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;250;125;273;133;432;191;6;4;33;Тройник 250х6-125х4-250х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;250;150;273;159;432;194;6;4;33;Тройник 250х6-150х4-250х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;250;200;273;219;432;203;6;6;33;Тройник 250х6-200х6-250х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;250;250;273;273;432;216;6;6;33;Тройник 250х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;300;150;325;159;508;219;6;4;47;Тройник 300х6-150х4-300х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;300;200;325;219;508;229;6;6;47;Тройник 300х6-200х6-300х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;300;250;325;273;508;241;6;6;47;Тройник 300х6-250х6-300х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;300;300;325;325;508;254;6;6;54;Тройник 300х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;350;350;377;377;550;280;6;6;54;Тройник 350х6 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;400;250;426;273;610;295;7;6;?;Тройник 400х7-250х6-400х7 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;400;300;426;325;610;305;7;6;?;Тройник 400х7-300х6-400х7 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;400;400;426;426;610;305;7;7;88;Тройник 400х7 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;500;300;530;325;762;356;7;6;?;Тройник 500х7-300х6-500х7 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;500;400;530;426;762;368;7;7;?;Тройник 500х7-400х7-500х7 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;500;500;530;530;762;381;7;6;?;Тройник 500х7 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;600;400;630;426;864;419;7;7;?;Тройник 600х7-400х7-600х7 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;600;500;630;530;864;432;7;7;?;Тройник 600х7-500х7-600х7 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;600;600;630;630;864;432;7;7;?;Тройник 600х7 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;800;800;820;820;1194;597;8;8;?;Тройник 800х8 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;1000;1000;1020;1020;1498;749;11;11;?;Тройник 1000х11 ГОСТ 17376-2001
DIN;DIN 2615;Tee pieces;15;15;21,3;21,3;50;25;2;2;?;Tee 15x2-15x2-15x2 DIN 2615
DIN;DIN 2615;Tee pieces;15;10;21,3;17,2;50;25;2;1,8;?;Tee 15x2-10x1,8-15x2 DIN 2615
DIN;DIN 2615;Tee pieces;20;20;26,9;26,9;58;29;2,3;2,3;?;Tee 20x2,3-20x2,3-20x2,3 DIN 2615
DIN;DIN 2615;Tee pieces;20;15;26,9;21,3;58;29;2,3;2;?;Tee 20x2,3-15x2-20x2,3 DIN 2615
DIN;DIN 2615;Tee pieces;20;10;26,9;17,2;58;29;2,3;1,8;?;Tee 20x2,3-10x1,8-20x2,3 DIN 2615
DIN;DIN 2615;Tee pieces;25;25;33,7;33,7;76;38;2,6;2,6;?;Tee 25x2,6-25x2,6-25x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;25;20;33,7;26,9;76;38;2,6;2,3;?;Tee 25x2,6-20x2,3-25x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;25;15;33,7;21,3;76;38;2,6;2;?;Tee 25x2,6-15x2-25x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;32;32;42,4;42,4;96;45;2,6;2,6;?;Tee 32x2,6-32x2,6-32x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;32;25;42,4;33,7;96;45;2,6;2,6;?;Tee 32x2,6-25x2,6-32x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;32;20;42,4;26,9;96;45;2,6;2,3;?;Tee 32x2,6-20x2,3-32x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;32;15;42,4;21,3;96;45;2,6;2;?;Tee 32x2,6-15x2-32x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;40;40;48,3;48,3;114;57;2,6;2,6;?;Tee 40x2,6-40x2,6-40x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;40;32;48,3;42,4;114;57;2,6;2,6;?;Tee 40x2,6-32x2,6-40x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;40;25;48,3;33,7;114;57;2,6;2,6;?;Tee 40x2,6-25x2,6-40x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;40;20;48,3;26,9;114;57;2,6;2,3;?;Tee 40x2,6-20x2,3-40x2,6 DIN 2615
DIN;DIN 2615;Tee pieces;50;50;60,3;60,3;128;64;2,9;2,9;?;Tee 50x2,9-50x2,9-50x2,9 DIN 2615
DIN;DIN 2615;Tee pieces;50;40;60,3;48,3;128;60;2,9;2,6;?;Tee 50x2,9-40x2,6-50x2,9 DIN 2615
DIN;DIN 2615;Tee pieces;50;32;60,3;42,4;128;57;2,9;2,6;?;Tee 50x2,9-32x2,6-50x2,9 DIN 2615
DIN;DIN 2615;Tee pieces;50;25;60,3;33,7;128;51;2,9;2,6;?;Tee 50x2,9-25x2,6-50x2,9 DIN 2615
DIN;DIN 2615;Tee pieces;50;20;60,3;26,9;128;44;2,9;2,3;?;Tee 50x2,9-20x2,3-50x2,9 DIN 2615
DIN;DIN 2615;Tee pieces;65;65;76,1;76,1;152;76;2,9;2,9;?;Tee 65x2,9-65x2,9-65x2,9 DIN 2615
DIN;DIN 2615;Tee pieces;65;50;76,1;60,3;152;70;2,9;2,9;?;Tee 65x2,9-50x2,9-65x2,9 DIN 2615
DIN;DIN 2615;Tee pieces;65;40;76,1;48,3;152;67;2,9;2,6;?;Tee 65x2,9-40x2,6-65x2,9 DIN 2615
DIN;DIN 2615;Tee pieces;65;32;76,1;42,4;152;64;2,9;2,6;?;Tee 65x2,9-32x2,6-65x2,9 DIN 2615
DIN;DIN 2615;Tee pieces;65;25;76,1;33,7;152;57;2,9;2,6;?;Tee 65x2,9-25x2,6-65x2,9 DIN 2615
DIN;DIN 2615;Tee pieces;80;80;88,9;88,9;172;86;3,2;3,2;?;Tee 80x3,2-80x3,2-80x3,2 DIN 2615
DIN;DIN 2615;Tee pieces;80;65;88,9;76,1;172;83;3,2;2,9;?;Tee 80x3,2-65x2,9-80x3,2 DIN 2615
DIN;DIN 2615;Tee pieces;80;50;88,9;60,3;172;76;3,2;2,9;?;Tee 80x3,2-50x2,9-80x3,2 DIN 2615
DIN;DIN 2615;Tee pieces;80;40;88,9;48,3;172;73;3,2;2,6;?;Tee 80x3,2-40x2,6-80x3,2 DIN 2615
