Тип_документа;Документ;Описание_документа;Ду;D1;D2;D3;D4;D5;h1;h2;h3;d;n;Наименование_фланца
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;80;117;117;210;127;168,3;14,2;31,8;7;23;8;Slip On Flange DN 80 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;90;133;133;230;139,7;184,2;14;35;7;26;8;Slip On Flange DN 90 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;100;146;146;255;157,2;200;16;35;7;26;8;Slip On Flange DN 100 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;125;178;178;280;185,7;235;15,9;38,1;7;26;8;Slip On Flange DN 125 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;150;206;206;320;215,9;269,9;15,7;41,3;7;26;12;Slip On Flange DN 150 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;200;260;260;380;269,9;330;20,3;47,7;7;29;12;Slip On Flange DN 200 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;250;321;321;445;323,8;387,4;19;54;7;32;16;Slip On Flange DN 250 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;300;375;375;520;381;450,8;21,8;57,2;7;35;16;Slip On Flange DN 300 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;350;425;425;585;412,8;514,4;23,6;60,4;7;35;20;Slip On Flange DN 350 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;400;483;483;650;469,9;571,5;30,5;63,5;7;39;20;Slip On Flange DN 400 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;450;533;533;710;533,4;628,6;31,3;66,7;7;39;24;Slip On Flange DN 450 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;500;587;587;775;584,2;685,8;32,1;69,9;7;42;24;Slip On Flange DN 500 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;600;702;702;915;692,2;812,8;37,8;76,2;7;48;24;Slip On Flange DN 600 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;15;38;38;95;34,9;66,7;7,7;14,3;7;16;4;Slip On Flange DN 15 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;20;48;48;115;42,9;82,6;9,1;15,9;7;20;4;Slip On Flange DN 20 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;25;54;54;125;50,8;88,9;9,5;17,5;7;20;4;Slip On Flange DN 25 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;32;64;64;135;63,5;98,4;8,3;20,7;7;20;4;Slip On Flange DN 32 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;40;70;70;155;73;114,3;9,7;22,3;7;23;4;Slip On Flange DN 40 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;50;84;84;165;92,1;127;11,6;25,4;7;20;8;Slip On Flange DN 50 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;65;100;100;190;104,8;149,2;12,4;28,6;7;23;8;Slip On Flange DN 65 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;80;117;117;210;127;168,3;14,2;31,8;7;23;8;Slip On Flange DN 80 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;90;133;133;230;139,7;184,2;14;35;7;26;8;Slip On Flange DN 90 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;100;152;152;275;157,2;215,9;15,9;38,1;7;26;8;Slip On Flange DN 100 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;125;189;189;330;185,7;266,7;15,5;44,5;7;29;8;Slip On Flange DN 125 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;150;222;222;355;215,9;292,1;19,3;47,7;7;29;12;Slip On Flange DN 150 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;200;273;273;420;269,9;349,2;20,4;55,6;7;32;12;Slip On Flange DN 200 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;250;343;343;510;323,8;431,8;22,5;63,5;7;35;16;Slip On Flange DN 250 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;300;400;400;560;381;489;25,3;66,7;7;35;20;Slip On Flange DN 300 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;350;432;432;605;412,8;527;24,1;69,9;7;39;20;Slip On Flange DN 350 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;400;495;495;685;469,9;603,2;29,8;76,2;7;42;20;Slip On Flange DN 400 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;450;546;546;745;533,4;654;34,4;82,6;7;45;20;Slip On Flange DN 450 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;500;610;610;815;584,2;723,9;38,1;88,9;7;45;24;Slip On Flange DN 500 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 600; Pipe Flanges and Flanged Fittings;600;718;718;940;692,2;838,2;38,4;101,6;7;51;24;Slip On Flange DN 600 SA-53 ASME B16.5-2013 Class 600
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;15;38;38;120;34,9;82,6;9,7;22,3;7;23;4;Slip On Flange DN 15 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;20;44;44;130;42,9;88,9;9,6;25,4;7;23;4;Slip On Flange DN 20 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;25;52;52;150;50,8;101,6;12,4;28,6;7;26;4;Slip On Flange DN 25 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;32;64;64;160;63,5;111,1;12,4;28,6;7;26;4;Slip On Flange DN 32 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;40;70;70;180;73;123,8;12,2;31,8;7;29;4;Slip On Flange DN 40 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;50;105;105;215;92,1;165,1;18,9;38,1;7;26;8;Slip On Flange DN 50 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;65;124;124;245;104,8;190,5;22,7;41,3;7;29;8;Slip On Flange DN 65 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;80;127;127;240;127;190,5;15,9;38,1;7;26;8;Slip On Flange DN 80 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;100;159;159;290;157,2;235;25,5;44,5;7;32;8;Slip On Flange DN 100 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;125;190;190;350;185,7;279,4;28,2;50,8;7;35;12;Slip On Flange DN 125 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;150;235;235;380;215,9;317,5;30,4;55,6;7;32;12;Slip On Flange DN 150 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;200;298;298;470;269,9;393,7;38,5;63,5;7;39;16;Slip On Flange DN 200 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;250;368;368;545;323,8;469,9;38,1;69,9;7;39;20;Slip On Flange DN 250 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;300;419;419;610;381;533,4;37,6;79,4;7;39;20;Slip On Flange DN 300 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;350;451;451;640;412,8;558,8;44,2;85,8;7;42;20;Slip On Flange DN 350 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;400;508;508;705;469,9;616;44,1;88,9;7;45;20;Slip On Flange DN 400 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;450;565;565;785;533,4;685,8;50,4;101,6;7;51;20;Slip On Flange DN 450 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 900; Pipe Flanges and Flanged Fittings;500;622;622;855;584,2;749,3;51;108;7;54;20;Slip On Flange DN 500 SA-53 ASME B16.5-2013 Class 900
ASME;ASME B16.5-2013 SO Class 1500; Pipe Flanges and Flanged Fittings;15;38;38;120;34,9;82,6;9,7;22,3;7;23;4;Slip On Flange DN 15 SA-53 ASME B16.5-2013 Class 1500
ASME;ASME B16.5-2013 SO Class 1500; Pipe Flanges and Flanged Fittings;20;44;44;130;42,9;88,9;9,6;25,4;7;23;4;Slip On Flange DN 20 SA-53 ASME B16.5-2013 Class 1500
ASME;ASME B16.5-2013 SO Class 1500; Pipe Flanges and Flanged Fittings;25;52;52;150;50,8;101,6;12,4;28,6;7;26;4;Slip On Flange DN 25 SA-53 ASME B16.5-2013 Class 1500
ASME;ASME B16.5-2013 SO Class 1500; Pipe Flanges and Flanged Fittings;32;64;64;160;63,5;111,1;12,4;28,6;7;26;4;Slip On Flange DN 32 SA-53 ASME B16.5-2013 Class 1500
ASME;ASME B16.5-2013 SO Class 1500; Pipe Flanges and Flanged Fittings;40;70;70;180;73;123,8;12,2;31,8;7;29;4;Slip On Flange DN 40 SA-53 ASME B16.5-2013 Class 1500
ASME;ASME B16.5-2013 SO Class 1500; Pipe Flanges and Flanged Fittings;50;105;105;215;92,1;165,1;18,9;38,1;7;26;8;Slip On Flange DN 50 SA-53 ASME B16.5-2013 Class 1500
ASME;ASME B16.5-2013 SO Class 1500; Pipe Flanges and Flanged Fittings;65;124;124;245;104,8;190,5;22,7;41,3;7;29;8;Slip On Flange DN 65 SA-53 ASME B16.5-2013 Class 1500
